,bachat,current_price,link,name,original_price,title
40,55% off,₹449,/highlander-men-solid-casual-blue-shirt/p/itmfekrxrhy8e4b2?pid=SHTEWZH8VTDZJRZA&lid=LSTSHTEWZH8VTDZJRZAMG6CZD&marketplace=FLIPKART&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=074bcbbf-37f7-4432-9422-4b82fb2f491d.SHTEWZH8VTDZJRZA.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Highlander,₹999,Men Solid Casual Shirt
41,60% off,₹799,/ducati-men-solid-casual-white-shirt/p/itmf7g3nvznd8yag?pid=SHTF7G3N2JYRFG6C&lid=LSTSHTF7G3N2JYRFG6CCHAKS8&marketplace=FLIPKART&srno=s_2_42&otracker=search&otracker1=search&fm=organic&iid=931e4bdd-0ac5-490f-8346-f67c247e957b.SHTF7G3N2JYRFG6C.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Ducati,"₹1,999",Men Solid Casual Shirt
42,81% off,₹355,/tap-men-color-block-casual-maroon-shirt/p/itm2e1cd0fdfcc84?pid=SHTFJNYFQGMFUHBT&lid=LSTSHTFJNYFQGMFUHBTDHTZZG&marketplace=FLIPKART&srno=s_2_43&otracker=search&otracker1=search&fm=organic&iid=0e75a9f5-4e94-4f34-886d-970dc9b5bee6.SHTFJNYFQGMFUHBT.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Tap in,"₹1,895",Men Color Block Casual Mandarin Shirt
43,45% off,₹549,/shivay-creation-men-solid-casual-white-shirt/p/itmf8bcu2ygdxydt?pid=SHTF8B6UYSZEGN2C&lid=LSTSHTF8B6UYSZEGN2CKKA5PB&marketplace=FLIPKART&srno=s_2_44&otracker=search&otracker1=search&fm=organic&iid=en_i%2B%2F9U3%2B3u1KAFbZM%2FfCvkJnC6WPDsA2z3Vr6njjz6cDzX3U%2B7uq%2BQG0Kc4wUnpwI1IPc2BA2HF79pX6qtST0OQ%3D%3D&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,shivay creation,₹999,Men Solid Casual Spread Shirt
44,65% off,₹450,/gritstones-men-striped-casual-white-black-shirt/p/itmfhmtzqmhgpwbf?pid=SHTFHHHJ4BJN8WZY&lid=LSTSHTFHHHJ4BJN8WZY0S7GDQ&marketplace=FLIPKART&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=a5fcfcb9-c2b4-4eae-bc91-42ff6ab6e574.SHTFHHHJ4BJN8WZY.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Gritstones,"₹1,299",Men Striped Casual Spread Shirt
45,48% off,₹519,/highlander-men-solid-casual-dark-blue-shirt/p/itmfdfd73d7k6t7n?pid=SHTEH5HTZPDF445T&lid=LSTSHTEH5HTZPDF445TJTCBZT&marketplace=FLIPKART&srno=s_2_46&otracker=search&otracker1=search&fm=organic&iid=61c6843f-f374-48b4-8812-840aca41645b.SHTEH5HTZPDF445T.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Highlander,₹999,Men Solid Casual Spread Shirt
46,73% off,₹424,/ghpc-men-solid-casual-white-shirt/p/itmf96e9rg6svhta?pid=SHTF96BF2MWWBCAG&lid=LSTSHTF96BF2MWWBCAGNFGVP5&marketplace=FLIPKART&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=c78a7326-631a-4049-93df-e42e6a415552.SHTF96BF2MWWBCAG.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,GHPC,"₹1,599",Men Solid Casual Mandarin Shirt
47,43% off,₹569,/highlander-men-checkered-casual-multicolor-shirt/p/itmfekrxwhdfwkyz?pid=SHTFYZZRSJJBCSMU&lid=LSTSHTFYZZRSJJBCSMUN9HGRI&marketplace=FLIPKART&srno=s_2_48&otracker=search&otracker1=search&fm=organic&iid=b5281029-18e9-4a93-8ca7-97cf960138d2.SHTFYZZRSJJBCSMU.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Highlander,₹999,Men Checkered Casual Shirt
48,79% off,₹398,/u-turn-men-solid-casual-light-blue-shirt/p/itmfa9g6ce3nqztf?pid=SHTFA9F66BBNZXHY&lid=LSTSHTFA9F66BBNZXHYDJABQU&marketplace=FLIPKART&srno=s_2_49&otracker=search&otracker1=search&fm=organic&iid=b5483193-4bf9-4eec-bc21-e03a2d06fec0.SHTFA9F66BBNZXHY.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,U TURN,"₹1,899",Men Solid Casual Mandarin Shirt
49,51% off,₹587,/5th-anfold-men-solid-formal-dark-blue-shirt/p/itmf6sxywydkyd5f?pid=SHTEYDDQ4HYMFCPG&lid=LSTSHTEYDDQ4HYMFCPGIMDAZJ&marketplace=FLIPKART&srno=s_2_50&otracker=search&otracker1=search&fm=organic&iid=en_i%2B%2F9U3%2B3u1KAFbZM%2FfCvkJnC6WPDsA2z3Vr6njjz6cB0WljSThtx22%2BmRIa3BOqmB0UWdpXMIqS0vVc4ASJGEg%3D%3D&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,5th Anfold,"₹1,199",Men Solid Formal Slim Shirt
50,67% off,₹521,/cobio-man-men-striped-casual-white-shirt/p/itmbdbdae787dc49?pid=SHTFKBF4HBJFSUC7&lid=LSTSHTFKBF4HBJFSUC75RAQNX&marketplace=FLIPKART&srno=s_2_51&otracker=search&otracker1=search&fm=organic&iid=f41fb315-0501-4fa9-a764-c30a755e71ea.SHTFKBF4HBJFSUC7.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,COBIO MAN,"₹1,599",Men Striped Casual Mandarin Shirt
51,63% off,₹540,/gritstones-men-printed-casual-white-shirt/p/itm1704c45a32869?pid=SHTFH2CY2GCVZHQ9&lid=LSTSHTFH2CY2GCVZHQ9LKWBJG&marketplace=FLIPKART&srno=s_2_52&otracker=search&otracker1=search&fm=organic&iid=4174cf95-5efd-4e75-a568-7d3b5d8f2527.SHTFH2CY2GCVZHQ9.SEARCH&ssid=o07k1nxtcw0000001580561285941&qH=514ca2b2d46ccf67,Gritstones,"₹1,499",Men Printed Casual Button Down Shirt
